id,popularity,budget,revenue,original_title,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
268920,1.178831,35000000,51680201,Hot Pursuit,Action|Crime|Comedy,2015-05-08,472,5.5,2015,32199985.8320062,47545763.999863796
280092,1.1647239999999999,10000000,104303851,Insidious: Chapter 3,Drama|Horror|Thriller,2015-06-04,610,6.3,2015,9199995.95200178,95959500.6978197
193687,1.161812,0,118483,Z for Zachariah,Drama|Science Fiction|Thriller,2015-08-13,181,5.5,2015,0.0,109004.312038102
300803,1.144808,0,0,Dragonheart 3: The Sorcerer's Curse,Action|Adventure|Fantasy,2015-02-24,59,4.5,2015,0.0,0.0
328589,1.142518,6000000,41387687,The Lady in the Van,Comedy|Drama,2015-11-13,135,5.9,2015,5519997.57120106,38076655.2862716
228066,1.138395,40000000,34227298,Victor Frankenstein,Drama|Science Fiction|Thriller,2015-11-10,408,5.5,2015,36799983.808007106,31489100.3047958
378373,1.128081,0,0,Brothers of the Wind,Adventure|Drama|Family,2015-12-24,11,7.5,2015,0.0,0.0
291270,1.1252389999999999,8000000,3759286,Anomalisa,Animation|Comedy|Drama|Romance,2015-12-30,259,6.7,2015,7359996.76160142,3458541.59824169
294963,1.0733489999999999,1800000,0,Bone Tomahawk,Horror|Western|Adventure|Drama,2015-10-23,220,6.3,2015,1655999.27136032,0.0
241257,1.065888,0,17671101,Regression,Horror|Mystery|Thriller,2015-10-01,310,5.2,2015,0.0,16257405.7667414
245698,1.0630549999999999,0,0,Pawn Sacrifice,Drama,2015-09-16,148,6.6,2015,0.0,0.0
353326,1.046518,0,11472454,The Man Who Knew Infinity,Drama,2015-09-17,104,7.1,2015,0.0,10554653.0359526
346808,1.041922,20000000,0,Momentum,Thriller|Action,2015-08-01,100,5.8,2015,18399991.9040035,0.0
250124,1.03839,2000000,1477002,The Diary of a Teenage Girl,Drama|Romance,2015-08-07,186,6.8,2015,1839999.19040035,1358841.24210985
290637,1.036825,0,0,Pay the Ghost,Horror|Thriller,2015-09-16,114,5.3,2015,0.0,0.0
244458,1.02762,0,0,The Voices,Horror|Thriller|Comedy|Crime,2015-02-06,371,6.0,2015,0.0,0.0
308504,1.021441,0,3643591,Last Knights,Action|Adventure,2015-04-03,237,6.3,2015,0.0,3352102.24507501
314405,1.0084739999999999,12000000,0,Il racconto dei racconti,Romance|Fantasy|Horror,2015-05-14,211,5.7,2015,11039995.1424021,0.0
282984,1.0070540000000001,11000000,27391084,Irrational Man,Mystery|Drama,2015-07-17,319,6.1,2015,10119995.5472019,25199786.192094002
157843,0.973316,15000000,0,Queen of the Desert,Drama|History,2015-09-03,30,6.0,2015,13799993.9280026,0.0
275601,0.956096,18000000,41325328,Ricki and the Flash,Comedy|Drama|Music,2015-07-10,152,5.5,2015,16559992.713603199,38019285.0315145
290762,0.9536469999999999,0,0,Miss You Already,Comedy|Drama|Romance,2015-09-12,139,7.2,2015,0.0,0.0
251516,0.953046,630019,0,Kung Fury,Action|Comedy|Science Fiction|Fantasy,2015-05-28,487,7.7,2015,579617.224968421,0.0
304372,0.950793,12000000,60273173,The Perfect Guy,Drama|Thriller,2015-09-11,122,5.6,2015,11039995.1424021,55451294.7614303
324807,0.9384319999999999,0,1936524,A Bigger Splash,Crime|Drama|Mystery|Thriller,2015-11-26,69,5.8,2015,0.0,1781601.29609542
252512,0.9376200000000001,10000000,7587485,While We're Young,Drama|Comedy,2015-03-27,265,5.9,2015,9199995.95200178,6980483.12858742
257091,0.9273389999999999,40000000,106511453,Get Hard,Comedy,2015-03-26,661,5.9,2015,36799983.808007106,97990493.6441828
228968,0.91704,0,0,Kidnapping Mr. Heineken,Drama|Action|Crime|Thriller,2015-03-12,131,5.8,2015,0.0,0.0
347969,0.913085,60000000,0,The Ridiculous 6,Comedy|Western,2015-12-11,252,4.8,2015,55199975.71201059,0.0
237756,0.90686,0,0,Kill Me Three Times,Comedy|Thriller,2015-04-10,96,5.1,2015,0.0,0.0
293646,0.9060360000000001,25000000,24902723,The 33,History|Drama,2015-08-06,262,5.8,2015,22999989.8800044,22910495.079382103
245168,0.898295999999999,14000000,16002420,Suffragette,Drama|History,2015-10-16,231,7.1,2015,12879994.3328024,14722219.9222232
311291,0.8944770000000001,0,0,45 Years,Drama,2015-08-28,167,6.0,2015,0.0,0.0
301351,0.880937999999999,6000000,11122090,We Are Your Friends,Drama|Music|Romance,2015-08-26,412,6.2,2015,5519997.57120106,10232318.297779901
248574,0.880268,0,6075,Barely Lethal,Adventure|Action|Comedy,2015-04-30,215,5.5,2015,0.0,5588.997540841079
225728,0.874641,0,13192457,Macbeth,History|Drama|War,2015-08-16,269,6.4,2015,0.0,12137055.0996957
326425,0.872149,0,16775,Extraction,Action|Thriller,2015-12-18,57,4.2,2015,0.0,15432.9932094829
342474,0.8611790000000001,0,0,Jenny's Wedding,Comedy|Drama,2015-07-31,92,5.2,2015,0.0,0.0
277217,0.848748,0,0,Descendants,Music|Action|Adventure|Comedy|Family,2015-07-31,262,6.7,2015,0.0,0.0
207936,0.843174,0,0,Tumbledown,Music|Romance|Comedy,2015-04-18,22,6.6,2015,0.0,0.0
250734,0.842202,0,30229977,Far from the Madding Crowd,Romance|Drama,2015-05-01,220,6.9,2015,0.0,27811566.6029106
249688,0.8369409999999989,0,3002884,The End of the Tour,Drama,2015-07-31,126,7.3,2015,0.0,2762652.06443309
268238,0.8324870000000001,10000000,85978266,The Second Best Exotic Marigold Hotel,Drama|Comedy,2015-02-26,196,6.4,2015,9199995.95200178,79099969.91601321
256962,0.829111,20000000,6420319,Little Boy,Comedy|Drama|War,2015-04-23,113,7.1,2015,18399991.9040035,5906690.88105601
322456,0.821443,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Action|Adventure|Animation|Family,2015-02-10,14,6.4,2015,0.0,0.0
302528,0.820691,0,1986615,Remember,Drama|Thriller,2015-10-23,75,7.7,2015,0.0,1827684.9958186
222936,0.814206,37000000,26250020,Aloha,Adventure|Comedy|Romance,2015-05-27,469,5.2,2015,34039985.0224065,24150007.7739965
316002,0.813893,26000000,0,Accidental Love,Romance|Comedy,2015-02-10,64,3.6,2015,23919989.475204602,0.0
365806,0.810667,0,0,Halo: The Fall of Reach,Action|Animation|Science Fiction,2015-10-27,32,5.3,2015,0.0,0.0
10317,0.795762,28000000,7002261,Our Brand Is Crisis,Drama|Comedy,2015-09-11,122,5.7,2015,25759988.665604897,6442077.28548599
334538,0.792471,0,0,Into the Forest,Drama|Science Fiction,2015-06-03,57,5.1,2015,0.0,0.0
306947,0.7879689999999989,0,231737,The Invitation,Thriller,2015-03-13,192,6.4,2015,0.0,213197.946192903
328901,0.781809,0,0,The Benefactor,Drama,2015-04-17,55,4.5,2015,0.0,0.0
382517,0.7739090000000001,0,0,Open Season: Scared Silly,Animation|Comedy|Family|Adventure,2015-12-31,33,5.6,2015,0.0,0.0
310133,0.77107,0,134552,Cop Car,Thriller,2015-08-07,174,5.5,2015,0.0,123787.785533374
237584,0.768138,0,0,Mojave,Thriller,2015-04-18,17,4.3,2015,0.0,0.0
288036,0.758133,0,3214116,Sleeping with Other People,Comedy,2015-06-26,197,6.2,2015,0.0,2956985.41892641
354110,0.747541,11000000,0,Forsaken,Western|Drama,2015-09-16,53,5.6,2015,10119995.5472019,0.0
331781,0.738404,0,8413144,Amy,Documentary|Music,2015-07-03,345,7.5,2015,0.0,7740089.0743608
253161,0.7299,0,0,Madame Bovary,Drama,2015-06-04,52,5.3,2015,0.0,0.0
312831,0.719407,0,0,The Hallow,Fantasy|Horror,2015-11-06,122,4.9,2015,0.0,0.0
316322,0.7141310000000001,0,0,Barbie in Princess Power,Family|Animation,2015-01-29,13,5.5,2015,0.0,0.0
301846,0.7073550000000001,0,0,Howl,Horror,2015-10-01,62,4.9,2015,0.0,0.0
306745,0.706023,7000000,573335,Freeheld,Romance|Drama,2015-10-02,86,7.1,2015,6439997.16640124,527467.967914094
332340,0.7013699999999989,0,0,Man Up,Romance|Comedy,2015-05-29,264,6.5,2015,0.0,0.0
292431,0.699932,3000000,695269,Love,Drama|Romance,2015-07-06,307,4.7,2015,2759998.78560053,639647.198555232
300693,0.69957,9600000,2541554,Truth,Drama,2015-09-12,89,6.4,2015,8831996.11392171,2338228.65117939
333381,0.696184,0,0,Return to Sender,Thriller,2015-05-31,88,5.0,2015,0.0,0.0
256924,0.690479,10000000,10835752,Danny Collins,Comedy|Drama|Music,2015-03-20,114,6.6,2015,9199995.95200178,9968887.45368952
253414,0.6895789999999989,15000000,3020664,Rock the Kasbah,Comedy|Music|War,2015-10-22,56,5.1,2015,13799993.9280026,2779009.65723575
254172,0.689571,2240000,0,Fathers and Daughters,Drama,2015-10-01,142,7.0,2015,2060799.09324839,0.0
320588,0.6737920000000001,1000000,14444999,"Hello, My Name Is Doris",Comedy|Drama|Romance,2015-11-27,87,6.6,2015,919999.595200178,13289393.2326669
157544,0.669351,13000000,1784763,The Vatican Tapes,Thriller|Horror,2015-07-24,164,4.5,2015,11959994.737602301,1641981.23752825
283235,0.661471,8000000,1411927,99 Homes,Drama,2015-09-25,121,6.8,2015,7359996.76160142,1298972.2684521999
